-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.017,  0.115
-183.800, 80.199, -0.000,  0.148
-183.800, 80.199, -0.004,  0.181
-183.800, 80.198, -0.005,  0.214
-183.800, 80.198, -0.005,  0.247
-183.800, 80.197, -0.004,  0.280
-183.800, 80.196, -0.001,  0.313
-183.799, 80.196, 0.004,  0.346
-183.799, 80.195, 0.009,  0.379
-183.799, 80.193, 0.017,  0.412
-183.798, 80.191, 0.057,  0.445
-183.797, 80.189, 0.057,  0.478
-183.796, 80.186, 0.072,  0.511
-183.795, 80.181, 0.173,  0.544
-183.792, 80.173, 0.226,  0.577
-183.789, 80.165, 0.227,  0.610
-183.786, 80.156, 0.277,  0.643
-183.783, 80.147, 0.273,  0.676
-183.780, 80.139, 0.257,  0.709
-183.777, 80.129, 0.312,  0.742
-183.774, 80.119, 0.321,  0.775
-183.770, 80.107, 0.354,  0.808
-183.766, 80.096, 0.335,  0.841
-183.762, 80.086, 0.328,  0.874
-183.758, 80.075, 0.347,  0.907
-183.754, 80.063, 0.350,  0.940
-183.749, 80.051, 0.384,  0.973
-183.745, 80.039, 0.398,  1.006
-183.740, 80.024, 0.428,  1.039
-183.734, 80.010, 0.433,  1.072
-183.729, 79.996, 0.439,  1.105
-183.723, 79.980, 0.488,  1.138
-183.716, 79.963, 0.520,  1.171
-183.710, 79.947, 0.505,  1.204
-183.702, 79.929, 0.550,  1.237
-183.694, 79.910, 0.603,  1.270
-183.686, 79.890, 0.607,  1.303
-183.678, 79.870, 0.607,  1.336
-183.670, 79.850, 0.635,  1.369
-183.661, 79.829, 0.657,  1.402
-183.652, 79.808, 0.649,  1.435
-183.643, 79.788, 0.640,  1.468
-183.633, 79.768, 0.643,  1.501
-183.624, 79.747, 0.640,  1.534
-183.615, 79.727, 0.641,  1.567
-183.605, 79.707, 0.652,  1.600
-183.595, 79.686, 0.661,  1.633
-183.585, 79.665, 0.666,  1.666
-183.574, 79.644, 0.667,  1.699
-183.564, 79.623, 0.677,  1.732
